"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_baseitem_3_Description"           				"Baseitem for craft something new..."
		"DOTA_Tooltip_ability_item_baseitem_3_bonus_stats"                        	"+$all"
		"DOTA_Tooltip_Ability_item_baseitem_4"                         			"Baseitem"
		"DOTA_Tooltip_ability_item_baseitem_4_Description"           				"Baseitem for craft something new..."
		"DOTA_Tooltip_ability_item_baseitem_4_bonus_stats"                        	"+$all"


		"DOTA_Tooltip_Ability_item_endgame"                         			"Endgame item"
		"DOTA_Tooltip_ability_item_endgame_Description"           				"Are you winning son?"

		"DOTA_Tooltip_Ability_item_flask_1"                         			"Heal"
		"DOTA_Tooltip_ability_item_flask_1_Description"           				"Recover health"
		"DOTA_Tooltip_ability_item_flask_1_heal"                        	"HEAL:"
		"DOTA_Tooltip_ability_item_flask_1_heal_pct"                        "%MAX HP HEAL:"

		"DOTA_Tooltip_Ability_item_powerup_1"                         			"powerup stone tier1"
		"DOTA_Tooltip_ability_item_powerup_1_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_2"                         			"powerup stone tier2"
		"DOTA_Tooltip_ability_item_powerup_2_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_3"                         			"powerup stone tier3"
		"DOTA_Tooltip_ability_item_powerup_3_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_4"                         			"powerup stone tier4"
		"DOTA_Tooltip_ability_item_powerup_4_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_5"                         			"powerup stone tier5"
		"DOTA_Tooltip_ability_item_powerup_5_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_6"                         			"powerup stone tier6"
		"DOTA_Tooltip_ability_item_powerup_6_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_7"                         			"powerup stone tier7"
		"DOTA_Tooltip_ability_item_powerup_7_Description"           				"Powerup stone increase tier of items"
		
		"DOTA_Tooltip_Ability_item_powerup_8"                         			"powerup stone tier8"
		"DOTA_Tooltip_ability_item_powerup_8_Description"           				"Powerup stone increase tier of items"

		"DOTA_Tooltip_Ability_item_baseitem_scroll"                         			"scroll tier1"
		"DOTA_Tooltip_ability_item_baseitem_scroll_Description"           				"Scroll for upgrade base items"

		"DOTA_Tooltip_Ability_item_scroll_1"                         			"scroll tier1"
		"DOTA_Tooltip_ability_item_scroll_1_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_2"                         			"scroll tier2"
		"DOTA_Tooltip_ability_item_scroll_2_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_3"                         			"scroll tier3"
		"DOTA_Tooltip_ability_item_scroll_3_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_4"                         			"scroll tier4"
		"DOTA_Tooltip_ability_item_scroll_4_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_5"                         			"scroll tier5"
		"DOTA_Tooltip_ability_item_scroll_5_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_6"                         			"scroll tier6"
		"DOTA_Tooltip_ability_item_scroll_6_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_7"                         			"scroll tier7"
		"DOTA_Tooltip_ability_item_scroll_7_Description"           				"Scroll for upgrade your items"
		
		"DOTA_Tooltip_Ability_item_scroll_8"                         			"scroll tier8"
		"DOTA_Tooltip_ability_item_scroll_8_Description"           				"Scroll for upgrade your items"

		"DOTA_Tooltip_Ability_item_damage_1"                     "damage tier1"
		"DOTA_Tooltip_ability_item_damage_1_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_1_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_2"                     "damage tier2"
		"DOTA_Tooltip_ability_item_damage_2_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_2_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_3"                     "damage tier3"
		"DOTA_Tooltip_ability_item_damage_3_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_3_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_4"                     "damage tier4"
		"DOTA_Tooltip_ability_item_damage_4_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_4_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_4"                     "damage tier4"
		"DOTA_Tooltip_ability_item_damage_4_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_4_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_5"                     "damage tier5"
		"DOTA_Tooltip_ability_item_damage_5_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_5_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_6"                     "damage tier6"
		"DOTA_Tooltip_ability_item_damage_6_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_6_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_7"                     "damage tier7"
		"DOTA_Tooltip_ability_item_damage_7_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_7_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_damage_8"                     "damage tier8"
		"DOTA_Tooltip_ability_item_damage_8_Description"         "Bonus damage"
		"DOTA_Tooltip_ability_item_damage_8_bonus_damage"         "+$damage"

		"DOTA_Tooltip_Ability_item_armor_1"                     "armor tier1"
		"DOTA_Tooltip_ability_item_armor_1_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_1_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_2"                     "armor tier2"
		"DOTA_Tooltip_ability_item_armor_2_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_2_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_3"                     "armor tier3"
		"DOTA_Tooltip_ability_item_armor_3_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_3_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_4"                     "armor tier4"
		"DOTA_Tooltip_ability_item_armor_4_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_4_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_4"                     "armor tier4"
		"DOTA_Tooltip_ability_item_armor_4_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_4_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_5"                     "armor tier5"
		"DOTA_Tooltip_ability_item_armor_5_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_5_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_6"                     "armor tier6"
		"DOTA_Tooltip_ability_item_armor_6_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_6_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_7"                     "armor tier7"
		"DOTA_Tooltip_ability_item_armor_7_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_7_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_armor_8"                     "armor tier8"
		"DOTA_Tooltip_ability_item_armor_8_Description"         "Bonus armor"
		"DOTA_Tooltip_ability_item_armor_8_bonus_armor"         "+$armor"

		"DOTA_Tooltip_Ability_item_attackspeed_1"                     "attackspeed tier1"
		"DOTA_Tooltip_ability_item_attackspeed_1_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_1_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_2"                     "attackspeed tier2"
		"DOTA_Tooltip_ability_item_attackspeed_2_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_2_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_3"                     "attackspeed tier3"
		"DOTA_Tooltip_ability_item_attackspeed_3_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_3_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_4"                     "attackspeed tier4"
		"DOTA_Tooltip_ability_item_attackspeed_4_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_4_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_4"                     "attackspeed tier4"
		"DOTA_Tooltip_ability_item_attackspeed_4_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_4_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_5"                     "attackspeed tier5"
		"DOTA_Tooltip_ability_item_attackspeed_5_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_5_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_6"                     "attackspeed tier6"
		"DOTA_Tooltip_ability_item_attackspeed_6_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_6_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_7"                     "attackspeed tier7"
		"DOTA_Tooltip_ability_item_attackspeed_7_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_7_bonus_attackspeed"         "+$attack"

		"DOTA_Tooltip_Ability_item_attackspeed_8"                     "attackspeed tier8"
		"DOTA_Tooltip_ability_item_attackspeed_8_Description"         "Bonus attackspeed"
		"DOTA_Tooltip_ability_item_attackspeed_8_bonus_attackspeed"         "+$attack"


		"DOTA_Tooltip_Ability_item_health_1"                     "health tier1"
		"DOTA_Tooltip_ability_item_health_1_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_1_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_2"                     "health tier2"
		"DOTA_Tooltip_ability_item_health_2_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_2_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_3"                     "health tier3"
		"DOTA_Tooltip_ability_item_health_3_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_3_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_4"                     "health tier4"
		"DOTA_Tooltip_ability_item_health_4_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_4_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_4"                     "health tier4"
		"DOTA_Tooltip_ability_item_health_4_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_4_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_5"                     "health tier5"
		"DOTA_Tooltip_ability_item_health_5_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_5_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_6"                     "health tier6"
		"DOTA_Tooltip_ability_item_health_6_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_6_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_7"                     "health tier7"
		"DOTA_Tooltip_ability_item_health_7_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_7_bonus_health"         "+$health"

		"DOTA_Tooltip_Ability_item_health_8"                     "health tier8"
		"DOTA_Tooltip_ability_item_health_8_Description"         "Bonus health"
		"DOTA_Tooltip_ability_item_health_8_bonus_health"         "+$health"


		"DOTA_Tooltip_Ability_item_desolator_1"                     "desolator tier1"
		"DOTA_Tooltip_ability_item_desolator_1_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_1_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_2"                     "desolator tier2"
		"DOTA_Tooltip_ability_item_desolator_2_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_2_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_3"                     "desolator tier3"
		"DOTA_Tooltip_ability_item_desolator_3_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_3_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_4"                     "desolator tier4"
		"DOTA_Tooltip_ability_item_desolator_4_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_4_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_4"                     "desolator tier4"
		"DOTA_Tooltip_ability_item_desolator_4_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_4_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_5"                     "desolator tier5"
		"DOTA_Tooltip_ability_item_desolator_5_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_5_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_6"                     "desolator tier6"
		"DOTA_Tooltip_ability_item_desolator_6_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_6_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_7"                     "desolator tier7"
		"DOTA_Tooltip_ability_item_desolator_7_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_7_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_8"                     "desolator tier8"
		"DOTA_Tooltip_ability_item_desolator_8_Description"         "Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_8_bonus_desolator"         "+$qqq"

		"DOTA_Tooltip_Ability_item_desolator_1"                         			"desolator tier1"
		"DOTA_Tooltip_ability_item_desolator_1_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_1_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_1_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_1_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_2"                         			"desolator tier2"
		"DOTA_Tooltip_ability_item_desolator_2_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_2_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_2_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_2_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_3"                         			"desolator tier3"
		"DOTA_Tooltip_ability_item_desolator_3_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_3_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_3_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_3_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_4"                         			"desolator tier4"
		"DOTA_Tooltip_ability_item_desolator_4_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_4_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_4_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_4_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_5"                         			"desolator tier5"
		"DOTA_Tooltip_ability_item_desolator_5_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_5_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_5_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_5_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_6"                         			"desolator tier6"
		"DOTA_Tooltip_ability_item_desolator_6_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_6_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_6_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_6_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_7"                         			"desolator tier7"
		"DOTA_Tooltip_ability_item_desolator_7_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_7_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_7_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_7_debuff_armor"                        	"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_item_desolator_8"                         			"desolator tier8"
		"DOTA_Tooltip_ability_item_desolator_8_Description"           				"Decrease enemy armor"
		"DOTA_Tooltip_ability_item_desolator_8_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_desolator_8_debuff_duration"                        	"DEBUFF DURATION:"		
		"DOTA_Tooltip_ability_item_desolator_8_debuff_armor"                        	"ARMOR DECREASE:"




		"DOTA_Tooltip_Ability_item_crit_1"                         			"crit tier1"
		"DOTA_Tooltip_ability_item_crit_1_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_1_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_1_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_1_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_2"                         			"crit tier2"
		"DOTA_Tooltip_ability_item_crit_2_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_2_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_2_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_2_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_3"                         			"crit tier3"
		"DOTA_Tooltip_ability_item_crit_3_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_3_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_3_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_3_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_4"                         			"crit tier4"
		"DOTA_Tooltip_ability_item_crit_4_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_4_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_4_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_4_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_5"                         			"crit tier5"
		"DOTA_Tooltip_ability_item_crit_5_Description"           				"Bonus crit"
